Species	Voucher	Gene	Reason
Ophiocordyceps geometridicola	BCC35947	SSU	no voucher match
Ophiocordyceps globiceps	MFLUCC 18-0495	RPB1	no voucher match
Ophiocordyceps globiceps	MFLUCC 18-0495	RPB2	no voucher match
Ophiocordyceps gracilis	EFCC 3101	ITS	no voucher match
Ophiocordyceps gracilis	EFCC 8572	SSU	no voucher match
Ophiocordyceps gracilis	EFCC 8572	LSU	no voucher match
Ophiocordyceps gracilis	EFCC 8572	TEF	no voucher match
Ophiocordyceps gracilis	EFCC 8572	RPB1	no voucher match
Ophiocordyceps gracilis	EFCC 8572	RPB2	no voucher match
Ophiocordyceps gracillisima	Ophgrc679	ITS	no voucher match
Ophiocordyceps gracillisima	Ophgrc679	SSU	no voucher match
Ophiocordyceps gracillisima	Ophgrc679	RPB2	no voucher match
Ophiocordyceps granospora	BCC82255	ITS	no voucher match
Ophiocordyceps granospora	BCC82255	SSU	no voucher match
Ophiocordyceps granospora	OSC 128579	ITS	no voucher match
Ophiocordyceps granospora	OSC 128579	RPB2	no voucher match
Ophiocordyceps halabalaensis	MY1308	RPB1	no voucher match
Ophiocordyceps halabalaensis	MY1308	RPB2	no voucher match
Ophiocordyceps halabalaensis	MY5151	SSU	no voucher match
Ophiocordyceps halabalaensis	MY5151	TEF	no voucher match
Ophiocordyceps halabalaensis	MY5151	RPB1	no voucher match
Ophiocordyceps halabalaensis	MY5151	RPB2	no voucher match
Ophiocordyceps humbertii	MF116A	ITS	no voucher match
Ophiocordyceps humbertii	MF116A	TEF	no voucher match
Ophiocordyceps humbertii	MF116A	RPB2	no voucher match
Ophiocordyceps humbertii	MF116B	ITS	no voucher match
Ophiocordyceps humbertii	MF116B	SSU	no voucher match
Ophiocordyceps humbertii	MF116B	LSU	no voucher match
Ophiocordyceps humbertii	MF116B	TEF	no voucher match
Ophiocordyceps humbertii	MF116B	RPB2	no voucher match
Ophiocordyceps khaoyaiensis	BCC82796	ITS	no voucher match
Ophiocordyceps khaoyaiensis	BCC82796	SSU	no voucher match
Ophiocordyceps kimflemingiae	SC30	ITS	no voucher match
Ophiocordyceps kimflemingiae	SC30	RPB2	no voucher match
Ophiocordyceps kniphofioides	HUA TSF 790	ITS	no voucher match
Ophiocordyceps kniphofioides	HUA TSF 790	RPB2	no voucher match
Ophiocordyceps kniphofioides	MF90	ITS	no voucher match
Ophiocordyceps kniphofioides	MF90	TEF	no voucher match
Ophiocordyceps kniphofioides	MF90	RPB2	no voucher match
Ophiocordyceps kniphofioides	Ophkni727	ITS	no voucher match
Ophiocordyceps kniphofioides	Ophkni727	SSU	no voucher match
Ophiocordyceps kniphofioides	Ophkni727	LSU	no voucher match
Ophiocordyceps kniphofioides	Ophkni727	TEF	no voucher match
Ophiocordyceps kniphofioides	Ophkni727	RPB1	no voucher match
Ophiocordyceps kniphofioides	PCFB	SSU	no voucher match
Ophiocordyceps kniphofioides	PCFB	LSU	no voucher match
Ophiocordyceps kniphofioides	PCFB	TEF	no voucher match
Ophiocordyceps kniphofioides	PCFB	RPB1	no voucher match
Ophiocordyceps kniphofioides	PCFB	RPB2	no voucher match
Ophiocordyceps konnoana	EFCC 7315	ITS	no voucher match
Ophiocordyceps konnoana	EFCC 7315	LSU	no voucher match
Ophiocordyceps konnoana	OTU0780	SSU	no voucher match
Ophiocordyceps konnoana	OTU0780	LSU	no voucher match
Ophiocordyceps konnoana	OTU0780	TEF	no voucher match
Ophiocordyceps konnoana	OTU0780	RPB1	no voucher match
Ophiocordyceps konnoana	OTU0780	RPB2	no voucher match
Ophiocordyceps lanpingensis	CS96	TEF	no voucher match
Ophiocordyceps lanpingensis	CS96	RPB1	no voucher match
Ophiocordyceps lanpingensis	CS96	RPB2	no voucher match
Ophiocordyceps lanpingensis	KUMCC 5190	SSU	no voucher match
Ophiocordyceps lanpingensis	KUMCC 5190	LSU	no voucher match
Ophiocordyceps lanpingensis	KUMCC 5190	TEF	no voucher match
Ophiocordyceps lanpingensis	KUMCC 5190	RPB1	no voucher match
Ophiocordyceps lanpingensis	KUMCC 5190	RPB2	no voucher match
Ophiocordyceps lanpingensis	YHOS0705	ITS	no voucher match
Ophiocordyceps lanpingensis	YHOS0705	SSU	no voucher match
Ophiocordyceps laosensis	GMB 3138	SSU	no voucher match
Ophiocordyceps laosensis	GMB 3138	LSU	no voucher match
Ophiocordyceps laosensis	GMB 3138	TEF	no voucher match
Ophiocordyceps laosensis	GMB 3138	RPB1	no voucher match
Ophiocordyceps laosensis	GMB 3138	RPB2	no voucher match
Ophiocordyceps laotii	BCC 76495	SSU	no voucher match
Ophiocordyceps laotii	BCC 76495	RPB2	no voucher match
Ophiocordyceps laotii	BCC 76497	ITS	no voucher match
Ophiocordyceps laotii	BCC 76497	LSU	no voucher match
Ophiocordyceps laotii	BCC 76497	TEF	no voucher match
Ophiocordyceps laotii	BCC 76497	RPB1	no voucher match
Ophiocordyceps laotii	BCC 76497	RPB2	no voucher match
Ophiocordyceps lloydii	OSC 151913	ITS	no voucher match
Ophiocordyceps lloydii	Pan-OY01	SSU	no voucher match
Ophiocordyceps lloydii	Pan-OY01	LSU	no voucher match
Ophiocordyceps lloydii	Pan-OY01	TEF	no voucher match
Ophiocordyceps lloydii	Pan-OY01	RPB1	no voucher match
Ophiocordyceps lloydii	Pan-OY01	RPB2	no voucher match
Ophiocordyceps longissima	Cod-SN1402	SSU	no voucher match
Ophiocordyceps longissima	Cod-SN1402	LSU	no voucher match
Ophiocordyceps longissima	Cod-SN1402	TEF	no voucher match
Ophiocordyceps longissima	Cod-SN1402	RPB1	no voucher match
Ophiocordyceps longissima	Cod-SN1402	RPB2	no voucher match
Ophiocordyceps longissima	NBRC:106965	ITS	no voucher match
Ophiocordyceps longissima	NBRC:106965	SSU	no voucher match
Ophiocordyceps longissima	NBRC:106965	LSU	no voucher match
Ophiocordyceps longissima	NBRC:106965	TEF	no voucher match
Ophiocordyceps longissima	NBRC:106965	RPB1	no voucher match
Ophiocordyceps longissima	TNS F18448	ITS	no voucher match
Ophiocordyceps longissima	TNS F18448	RPB2	no voucher match
Ophiocordyceps macroacicularis	BCC22918	ITS	no voucher match
Ophiocordyceps macroacicularis	BCC22918	SSU	no voucher match
