Species	Voucher	Gene	Reason
Ophiocordyceps nutans	06Tank22	LSU	no voucher match
Ophiocordyceps nutans	06Tank22	TEF	no voucher match
Ophiocordyceps nutans	06Tank22	RPB1	no voucher match
Ophiocordyceps nutans	06Tank22	RPB2	no voucher match
Ophiocordyceps nutans	06Tank21	SSU	no voucher match
Ophiocordyceps nutans	06Tank21	LSU	no voucher match
Ophiocordyceps nutans	06Tank21	TEF	no voucher match
Ophiocordyceps nutans	06Tank21	RPB1	no voucher match
Ophiocordyceps nutans	06Tank21	RPB2	no voucher match
Ophiocordyceps nutans	06Tank20	SSU	no voucher match
Ophiocordyceps nutans	06Tank20	LSU	no voucher match
Ophiocordyceps nutans	06Tank20	TEF	no voucher match
Ophiocordyceps nutans	06Tank20	RPB1	no voucher match
Ophiocordyceps nutans	06Tank20	RPB2	no voucher match
Ophiocordyceps nutans	06Tank19	SSU	no voucher match
Ophiocordyceps nutans	06Tank19	LSU	no voucher match
Ophiocordyceps nutans	06Tank19	TEF	no voucher match
Ophiocordyceps nutans	06Tank19	RPB1	no voucher match
Ophiocordyceps nutans	06Tank19	RPB2	no voucher match
Ophiocordyceps nutans	06Tank17	SSU	no voucher match
Ophiocordyceps nutans	06Tank17	LSU	no voucher match
Ophiocordyceps nutans	06Tank17	TEF	no voucher match
Ophiocordyceps nutans	06Tank17	RPB1	no voucher match
Ophiocordyceps nutans	06Tank17	RPB2	no voucher match
Ophiocordyceps nutans	06Tank15	SSU	no voucher match
Ophiocordyceps nutans	06Tank15	LSU	no voucher match
Ophiocordyceps nutans	06Tank15	TEF	no voucher match
Ophiocordyceps nutans	06Tank15	RPB1	no voucher match
Ophiocordyceps nutans	06Tank15	RPB2	no voucher match
Ophiocordyceps nutans	06Tank14	SSU	no voucher match
Ophiocordyceps nutans	06Tank14	LSU	no voucher match
Ophiocordyceps nutans	06Tank14	TEF	no voucher match
Ophiocordyceps nutans	06Tank14	RPB1	no voucher match
Ophiocordyceps nutans	06Tank14	RPB2	no voucher match
Ophiocordyceps nutans	06Tank13	SSU	no voucher match
Ophiocordyceps nutans	06Tank13	LSU	no voucher match
Ophiocordyceps nutans	06Tank13	TEF	no voucher match
Ophiocordyceps nutans	06Tank13	RPB1	no voucher match
Ophiocordyceps nutans	06Tank13	RPB2	no voucher match
Ophiocordyceps nutans	06Tank11	SSU	no voucher match
Ophiocordyceps nutans	06Tank11	LSU	no voucher match
Ophiocordyceps nutans	06Tank11	TEF	no voucher match
Ophiocordyceps nutans	06Tank11	RPB1	no voucher match
Ophiocordyceps nutans	06Tank11	RPB2	no voucher match
Ophiocordyceps nutans	06Tank10	SSU	no voucher match
Ophiocordyceps nutans	06Tank10	LSU	no voucher match
Ophiocordyceps nutans	06Tank10	TEF	no voucher match
Ophiocordyceps nutans	06Tank10	RPB1	no voucher match
Ophiocordyceps nutans	06Tank10	RPB2	no voucher match
Ophiocordyceps nutans	06Tank6	SSU	no voucher match
Ophiocordyceps nutans	06Tank6	LSU	no voucher match
Ophiocordyceps nutans	06Tank6	TEF	no voucher match
Ophiocordyceps nutans	06Tank6	RPB1	no voucher match
Ophiocordyceps nutans	06Tank6	RPB2	no voucher match
Ophiocordyceps nutans	06Tank5	SSU	no voucher match
Ophiocordyceps nutans	06Tank5	LSU	no voucher match
Ophiocordyceps nutans	06Tank5	TEF	no voucher match
Ophiocordyceps nutans	06Tank5	RPB1	no voucher match
Ophiocordyceps nutans	06Tank5	RPB2	no voucher match
Ophiocordyceps nutans	06Tank2	SSU	no voucher match
Ophiocordyceps nutans	06Tank2	LSU	no voucher match
Ophiocordyceps nutans	06Tank2	TEF	no voucher match
Ophiocordyceps nutans	06Tank2	RPB1	no voucher match
Ophiocordyceps nutans	06Tank2	RPB2	no voucher match
Ophiocordyceps nutans	06Tank1	SSU	no voucher match
Ophiocordyceps nutans	06Tank1	LSU	no voucher match
Ophiocordyceps nutans	06Tank1	TEF	no voucher match
Ophiocordyceps nutans	06Tank1	RPB1	no voucher match
Ophiocordyceps nutans	06Tank1	RPB2	no voucher match
Ophiocordyceps nutans	06N14	SSU	no voucher match
Ophiocordyceps nutans	06N14	LSU	no voucher match
Ophiocordyceps nutans	06N14	TEF	no voucher match
Ophiocordyceps nutans	06N14	RPB1	no voucher match
Ophiocordyceps nutans	06N14	RPB2	no voucher match
Ophiocordyceps nutans	06N13	SSU	no voucher match
Ophiocordyceps nutans	06N13	LSU	no voucher match
Ophiocordyceps nutans	06N13	TEF	no voucher match
Ophiocordyceps nutans	06N13	RPB1	no voucher match
Ophiocordyceps nutans	06N13	RPB2	no voucher match
Ophiocordyceps nutans	06N12	SSU	no voucher match
Ophiocordyceps nutans	06N12	LSU	no voucher match
Ophiocordyceps nutans	06N12	TEF	no voucher match
Ophiocordyceps nutans	06N12	RPB1	no voucher match
Ophiocordyceps nutans	06N12	RPB2	no voucher match
Ophiocordyceps nutans	06N11	SSU	no voucher match
Ophiocordyceps nutans	06N11	LSU	no voucher match
Ophiocordyceps nutans	06N11	TEF	no voucher match
Ophiocordyceps nutans	06N11	RPB1	no voucher match
Ophiocordyceps nutans	06N11	RPB2	no voucher match
Ophiocordyceps nutans	06N10	SSU	no voucher match
Ophiocordyceps nutans	06N10	LSU	no voucher match
Ophiocordyceps nutans	06N10	TEF	no voucher match
Ophiocordyceps nutans	06N10	RPB1	no voucher match
Ophiocordyceps nutans	06N10	RPB2	no voucher match
Ophiocordyceps nutans	06Fuka7	SSU	no voucher match
Ophiocordyceps nutans	06Fuka7	LSU	no voucher match
